label,position,start time,end time,patient_number,description,link
מערת סנט ג'רום (בתוך כנסיית המולד),"31.704532, 35.207497",2020-02-13T10:30:00+02:00,2020-02-13T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גרנד קורט,"31.789627, 35.227216",2020-02-13T20:00:00+02:00,2020-02-13T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גרנד קורט,"31.789627, 35.227216",2020-02-14T00:00:00+02:00,2020-02-14T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
ביקור בהר הזיתים,"31.778733, 35.245956",2020-02-14T10:00:00+02:00,2020-02-14T14:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית העלייה,"31.779216, 35.245031",2020-02-14T10:00:00+02:00,2020-02-14T14:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
בית פגי (כנסייה),"31.777475, 35.250745",2020-02-14T10:00:00+02:00,2020-02-14T14:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מסעדת שנגחאי,"31.732126, 35.203915",2020-02-14T12:00:00+02:00,2020-02-14T15:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית פאטר נוסטר (אבינו שבשמיים),"31.778342, 35.245179",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית גת שמנים,"31.779465, 35.239791",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
הר ציון,"31.771154, 35.228458",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
