label,position,start time,end time,patient_number,description,link
תפילה בכנסיית הקבר ירושלים,"31.778434, 35.229492",2020-02-26T18:40:00+02:00,2020-02-26T20:10:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
כנסיית סנט ג'ורג' בלוד,"31.953169, 34.899326",2020-02-26T16:00:00+02:00,2020-02-26T16:40:00+02:00,,תיירים מיוון,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/05032020_05.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-26T18:00:00+02:00,2020-02-26T23:59:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-27T00:00:00+02:00,2020-02-27T08:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
מסעדת דליה במגדל,"32.8864705,35.447115,13",2020-02-27T12:30:00+02:00,2020-02-27T15:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-27T18:00:00+02:00,2020-02-27T23:59:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-28T00:00:00+02:00,2020-02-28T08:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-28T18:00:00+02:00,2020-02-28T23:59:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
בית מלון Golden Crown Old City בנצרת,"32.7055015,35.3014112,17",2020-02-29T00:00:00+02:00,2020-02-29T08:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
מסעדת קומראן באתר קומראן,"31.7412525,35.4569593,17",2020-02-29T12:00:00+02:00,2020-02-29T13:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
מלון רסטל בטבריה,"32.7867555,35.5331003",2020-03-04T18:30:00+02:00,2020-03-04T20:00:00+02:00,16,חולה מס' 16,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_1.aspx
מסעדת ANIMAR,"32.078774, 34.767687",2020-02-23T18:30:00+02:00,2020-02-23T21:30:00+02:00,,תייר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_3.aspx
ארוחת בוקר במלון דן,"32.07956, 34.767947",2020-02-24T07:00:00+02:00,2020-02-24T08:00:00+02:00,,תייר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_3.aspx
הארבעה 21 קומה 16,"32.070427, 34.786908",2020-02-24T08:15:00+02:00,2020-02-24T14:00:00+02:00,,תייר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_3.aspx
מסעדת ANIMAR,"32.078774, 34.767687",2020-02-24T22:00:00+02:00,2020-02-24T23:59:00+02:00,,תייר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_3.aspx
מסעדת ANIMAR,"32.078774, 34.767687",2020-02-25T00:00:00+02:00,2020-02-25T02:45:00+02:00,,תייר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_3.aspx
רכבת מתחנה מרכזית בירושלים,"31.7683536,35.178117,14",2020-03-01T13:30:00+02:00,2020-03-01T14:00:00+02:00,,תייר מצרפת,
בית כנסת רמב״ן ברח׳ אמציה בירושלים,"31.7621122,35.2132363,17",2020-03-01T23:00:00+02:00,2020-03-01T20:00:00+02:00,,תייר מצרפת,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_03.aspx
בית קפה ״הלל״ ברמת בית הכרם,"31.7659831,35.1824382,15",2020-03-02T10:30:00+02:00,2020-03-02T12:00:00+02:00,,תייר מצרפת,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_03.aspx
רכבת מתחנה מרכזית בירושלים,"31.7683536,35.178117,14",2020-03-02T12:00:00+02:00,2020-03-02T12:30:00+02:00,,תייר מצרפת,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/06032020_03.aspx
<<<<<<< HEAD
"קפה לורן ברחוב סוקולוב 53 רמה""ש","32.1440607,34.8354079,17",2020-02-28T09:00:00+02:00,2020-02-28T10:00:00+02:00,18,תייר מספרד,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/07032020_1.aspx
"מסעדת פיש: רחוב פרופ' בני חבוט 7 ראשל""צ","31.9922422,34.7474626,19",2020-02-28T15:00:00+02:00,2020-02-28T17:00:00+02:00,18,תייר מספרד,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/07032020_1.aspx
"מסעדת פיש: רחוב פרופ' בני חבוט 7 ראשל""צ","31.9922422,34.7474626,19",2020-02-29T13:00:00+02:00,2020-02-29T15:00:00+02:00,18,תייר מספרד,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/07032020_1.aspx
"קפה לורן  רחוב סוקולוב 53 רמה""ש","32.1440607,34.8354079,17",2020-03-02T09:00:00+02:00,2020-03-02T10:00:00+02:00,18,תייר מספרד,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/07032020_1.aspx
"מוקד רפואה דחופה מכבי ברחוב הנצח 3 רמה""ש","32.1385405,34.8417452,17",2020-03-02T14:30:00+02:00,2020-03-02T15:30:00+02:00,18,תייר מספרד,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/07032020_1.aspx
סופר אלונית תחנת דלק דור אלון בכביש שש לכיוון צפון ליד מחלף בקה,"32.3910275,34.9947362",2020-02-29T10:30:00+02:00,2020-02-29T11:00:00+02:00,22,,
כרמיאל – ניחום אבלים רחוב אנקור 82.,"32.9004598,35.2927348",2020-02-29T11:30:00+02:00,2020-02-29T12:30:00+02:00,22,,
כפר ירכא סופרמרקט מרקזה.,"32.9463904,35.175988",2020-02-29T12:30:00+02:00,2020-02-29T13:30:00+02:00,22,,
כפר ירכא מסעדת בורגר אנד סטייקס במרכז BIG.,"32.955728,35.1829777",2020-02-29T13:30:00+02:00,2020-02-29T14:30:00+02:00,22,,
קלפי מספר 97 ברחוב קפלן 42 פתח תקווה.,"32.0818804,34.8651936",2020-02-29T19:30:00+02:00,2020-02-29T19:35:00+02:00,22,,
צ'יפ-מרקט ארלוזרוב 38 פתח תקווה.,"32.0854778,34.8683473",2020-02-29T20:00:00+02:00,2020-02-29T20:10:00+02:00,22,,
בית רבקה מחלקה ג' חדר 4235.,"32.071679,34.8906156",2020-03-03T18:00:00+02:00,2020-03-03T19:00:00+02:00,22,,
קלפי בבית ספר אבן חן בשוהם,"32.0020526,34.9410456",2020-03-02T20:00:00+02:00,2020-03-02T20:10:00+02:00,24,,
מרפאת קופת חולים מאוחדת בשוהם,"31.9997234,34.9453264",2020-03-03T09:45:00+02:00,2020-03-03T10:00:00+02:00,24,,
"סופר חצות וחצי רחוב טרכטנברג 18 ראשל""צ.","31.9748648,34.7800661",2020-03-03T17:40:00+02:00,2020-03-03T18:15:00+02:00,25,,
=======
"קפה לורן ברחוב סוקולוב 53 רמה""ש","32.1440607,34.8354079,17",2020-02-28T09:00:00+02:00,2020-02-28T10:00:00+02:00,18,תייר מספרד,https://govextra.gov.il/ministry-of-health/corona/corona-virus/spokesman-messages-corona/
"מסעדת פיש: רחוב פרופ' בני חבוט 7 ראשל""צ","31.9922422,34.7474626,19",2020-02-28T15:00:00+02:00,2020-02-28T17:00:00+02:00,18,תייר מספרד,https://govextra.gov.il/ministry-of-health/corona/corona-virus/spokesman-messages-corona/
"מסעדת פיש: רחוב פרופ' בני חבוט 7 ראשל""צ","31.9922422,34.7474626,19",2020-02-29T13:00:00+02:00,2020-02-29T15:00:00+02:00,18,תייר מספרד,https://govextra.gov.il/ministry-of-health/corona/corona-virus/spokesman-messages-corona/
"קפה לורן  רחוב סוקולוב 53 רמה""ש","32.1440607,34.8354079,17",2020-03-02T09:00:00+02:00,2020-03-02T10:00:00+02:00,18,תייר מספרד,https://govextra.gov.il/ministry-of-health/corona/corona-virus/spokesman-messages-corona/
"מוקד רפואה דחופה מכבי ברחוב הנצח 3 רמה""ש","32.1385405,34.8417452,17",2020-03-02T14:30:00+02:00,2020-03-02T15:30:00+02:00,18,תייר מספרד,https://govextra.gov.il/ministry-of-health/corona/corona-virus/spokesman-messages-corona/
>>>>>>> 0819e1f516854011d611f290b74384dd2e06b18d
